TimeStamp,Velocity,DesiredVelocity,ControllerOutput,Acceleration
29.4,10.3963,10,461.594,-0.0582203
29.5,10.3905,10,461.78,-0.0577434
29.6,10.3847,10,461.97,-0.0572646
29.7,10.379,10,462.164,-0.0567841
29.8,10.3733,10,462.362,-0.0563022
29.9,10.3676,10,462.564,-0.0558188
30,10.3621,10,462.769,-0.0553342
30.1,10.3565,10,462.978,-0.0548485
30.2,10.351,10,463.191,-0.0543618
30.3,10.3456,10,463.406,-0.0538743
30.4,10.3402,10,463.625,-0.0533861
30.5,10.3349,10,463.847,-0.0528972
30.6,10.3296,10,464.072,-0.0524079
30.7,10.3244,10,464.3,-0.0519183
30.8,10.3192,10,464.53,-0.0514284
30.9,10.314,10,464.763,-0.0509384
31,10.3089,10,464.998,-0.0504484
31.1,10.3039,10,465.236,-0.0499585
31.2,10.2989,10,465.475,-0.0494689
31.3,10.2939,10,465.717,-0.0489795
31.4,10.289,10,465.962,-0.0484906
31.5,10.2842,10,466.208,-0.0480021
31.6,10.2794,10,466.455,-0.0475143
31.7,10.2746,10,466.705,-0.0470272
31.8,10.2699,10,466.956,-0.0465409
31.9,10.2653,10,467.209,-0.0460554
32,10.2607,10,467.463,-0.045571
32.1,10.2561,10,467.718,-0.0450876
32.2,10.2516,10,467.975,-0.0446053
32.3,10.2472,10,468.233,-0.0441243
32.4,10.2427,10,468.492,-0.0436446
32.5,10.2384,10,468.753,-0.0431663
32.6,10.2341,10,469.014,-0.0426894
32.7,10.2298,10,469.275,-0.042214
32.8,10.2256,10,469.538,-0.0417402
32.9,10.2214,10,469.802,-0.0412681
33,10.2173,10,470.066,-0.0407978
33.1,10.2132,10,470.33,-0.0403292
33.2,10.2092,10,470.595,-0.0398625
33.3,10.2052,10,470.861,-0.0393977
33.4,10.2012,10,471.127,-0.0389349
33.5,10.1973,10,471.393,-0.0384741
33.6,10.1935,10,471.659,-0.0380154
33.7,10.1897,10,471.925,-0.0375589
33.8,10.1859,10,472.192,-0.0371045
33.9,10.1822,10,472.459,-0.0366525
34,10.1786,10,472.725,-0.0362027
34.1,10.1749,10,472.992,-0.0357552
34.2,10.1714,10,473.258,-0.0353101
34.3,10.1678,10,473.524,-0.0348675
34.4,10.1643,10,473.79,-0.0344273
34.5,10.1609,10,474.055,-0.0339897
34.6,10.1575,10,474.32,-0.0335546
34.7,10.1541,10,474.585,-0.0331221
34.8,10.1508,10,474.849,-0.0326922
34.9,10.1476,10,475.113,-0.032265
35,10.1443,10,475.376,-0.0318405
35.1,10.1412,10,475.639,-0.0314187
35.2,10.138,10,475.901,-0.0309997
35.3,10.1349,10,476.162,-0.0305834
35.4,10.1319,10,476.423,-0.03017
35.5,10.1288,10,476.682,-0.0297594
35.6,10.1259,10,476.941,-0.0293517
35.7,10.1229,10,477.199,-0.0289469
35.8,10.12,10,477.456,-0.028545
35.9,10.1172,10,477.713,-0.0281461
36,10.1144,10,477.968,-0.0277501
36.1,10.1116,10,478.222,-0.027357
36.2,10.1088,10,478.475,-0.026967
36.3,10.1062,10,478.728,-0.02658
36.4,10.1035,10,478.979,-0.026196
36.5,10.1009,10,479.229,-0.0258151
36.6,10.0983,10,479.477,-0.0254372
36.7,10.0958,10,479.725,-0.0250624
36.8,10.0932,10,479.971,-0.0246907
36.9,10.0908,10,480.217,-0.0243221
37,10.0883,10,480.461,-0.0239566
37.1,10.0859,10,480.703,-0.0235942
37.2,10.0836,10,480.944,-0.023235
37.3,10.0813,10,481.184,-0.0228789
37.4,10.079,10,481.423,-0.0225259
37.5,10.0767,10,481.66,-0.022176
37.6,10.0745,10,481.896,-0.0218294
37.7,10.0723,10,482.13,-0.0214858
37.8,10.0702,10,482.363,-0.0211455
37.9,10.0681,10,482.595,-0.0208083
38,10.066,10,482.825,-0.0204742
38.1,10.0639,10,483.053,-0.0201433
38.2,10.0619,10,483.28,-0.0198156
38.3,10.0599,10,483.506,-0.0194911
38.4,10.058,10,483.73,-0.0191697
38.5,10.0561,10,483.952,-0.0188515
38.6,10.0542,10,484.173,-0.0185364
38.7,10.0523,10,484.392,-0.0182245
38.8,10.0505,10,484.61,-0.0179158
38.9,10.0487,10,484.826,-0.0176102
39,10.047,10,485.04,-0.0173077
39.1,10.0452,10,485.253,-0.0170084
39.2,10.0435,10,485.464,-0.0167123
39.3,10.0419,10,485.673,-0.0164192
39.4,10.0402,10,485.881,-0.0161293
39.5,10.0386,10,486.087,-0.0158425
39.6,10.037,10,486.292,-0.0155587
39.7,10.0355,10,486.495,-0.0152781
39.8,10.0339,10,486.696,-0.0150006
39.9,10.0324,10,486.895,-0.0147261
40,10.031,10,487.093,-0.0144547
40.1,10.0295,10,487.289,-0.0141864
40.2,10.0281,10,487.484,-0.0139211
40.3,10.0267,10,487.676,-0.0136589
40.4,10.0253,10,487.867,-0.0133996
40.5,10.024,10,488.056,-0.0131434
40.6,10.0227,10,488.244,-0.0128902
40.7,10.0214,10,488.43,-0.01264
40.8,10.0201,10,488.614,-0.0123927
40.9,10.0189,10,488.796,-0.0121484
41,10.0177,10,488.977,-0.011907
41.1,10.0165,10,489.156,-0.0116686
41.2,10.0153,10,489.333,-0.011433
41.3,10.0142,10,489.508,-0.0112004
41.4,10.0131,10,489.682,-0.0109707
41.5,10.012,10,489.854,-0.0107438
41.6,10.0109,10,490.024,-0.0105198
41.7,10.0098,10,490.193,-0.0102986
41.8,10.0088,10,490.36,-0.0100802
41.9,10.0078,10,490.525,-0.00986468
42,10.0068,10,490.688,-0.00965191
42.1,10.0058,10,490.85,-0.00944191
42.2,10.0049,10,491.01,-0.00923466
42.3,10.004,10,491.168,-0.00903014
42.4,10.0031,10,491.325,-0.00882835
42.5,10.0022,10,491.48,-0.00862925
42.6,10.0013,10,491.633,-0.00843283
42.7,10.0005,10,491.785,-0.00823908
42.8,9.99966,10,491.935,-0.00804797
42.9,9.99885,10,492.083,-0.00785948
43,9.99807,10,492.23,-0.00767361
43.1,9.9973,10,492.375,-0.00749032
43.2,9.99655,10,492.518,-0.0073096
43.3,9.99582,10,492.659,-0.00713143
43.4,9.99511,10,492.799,-0.00695579
43.5,9.99441,10,492.938,-0.00678266
43.6,9.99373,10,493.075,-0.00661203
43.7,9.99307,10,493.21,-0.00644386
43.8,9.99243,10,493.343,-0.00627815
43.9,9.9918,10,493.475,-0.00611487
44,9.99119,10,493.605,-0.00595401
44.1,9.99059,10,493.734,-0.00579553
44.2,9.99001,10,493.861,-0.00563943
44.3,9.98945,10,493.987,-0.00548569
44.4,9.9889,10,494.111,-0.00533427
44.5,9.98837,10,494.233,-0.00518517
44.6,9.98785,10,494.354,-0.00503836
44.7,9.98734,10,494.473,-0.00489382
44.8,9.98685,10,494.591,-0.00475153
44.9,9.98638,10,494.707,-0.00461147
45,9.98592,10,494.822,-0.00447362
45.1,9.98547,10,494.936,-0.00433797
45.2,9.98504,10,495.047,-0.00420448
45.3,9.98462,10,495.158,-0.00407314
45.4,9.98421,10,495.266,-0.00394393
45.5,9.98381,10,495.374,-0.00381683
45.6,9.98343,10,495.48,-0.00369182
45.7,9.98306,10,495.584,-0.00356887
45.8,9.98271,10,495.687,-0.00344797
45.9,9.98236,10,495.789,-0.0033291
46,9.98203,10,495.889,-0.00321223
46.1,9.98171,10,495.988,-0.00309735
46.2,9.9814,10,496.085,-0.00298444
46.3,9.9811,10,496.181,-0.00287347
46.4,9.98081,10,496.276,-0.00276442
