# x_m,y_m,w_tr_right_m,w_tr_left_m
3.4400,0.1900,0.4610,0.4610
3.4400,0.2400,0.4743,0.4743
3.4900,0.2900,0.4472,0.4472
3.4900,0.3400,0.4717,0.4717
3.4900,0.3900,0.5000,0.5000
3.4900,0.4400,0.5000,0.5000
3.5400,0.4900,0.4950,0.4950
3.5900,0.4900,0.5000,0.5000
3.6400,0.5400,0.5148,0.5148
3.6900,0.5900,0.5385,0.5385
3.7400,0.6400,0.5701,0.5701
3.7900,0.6900,0.6083,0.6083
3.8400,0.7400,0.6519,0.6519
3.8900,0.7400,0.6500,0.6500
3.8900,0.7900,0.7000,0.7000
3.8900,0.8400,0.7000,0.7000
3.8900,0.8900,0.7000,0.7000
3.8900,0.9400,0.7018,0.7018
3.8900,0.9900,0.7071,0.7071
3.8900,1.0400,0.6946,0.6946
3.9400,1.0900,0.6801,0.6801
3.9400,1.1400,0.6403,0.6403
3.9400,1.1900,0.6021,0.6021
3.9400,1.2400,0.5657,0.5657
3.9400,1.2900,0.5315,0.5315
3.9900,1.2900,0.5701,0.5701
4.0400,1.3400,0.5831,0.5831
4.0900,1.3400,0.6265,0.6265
4.1400,1.3900,0.6500,0.6500
4.1900,1.4400,0.6403,0.6403
4.1900,1.4900,0.6021,0.6021
4.1900,1.5400,0.5657,0.5657
4.1900,1.5900,0.5315,0.5315
4.1900,1.6400,0.5000,0.5000
4.1900,1.6900,0.4717,0.4717
4.1400,1.6900,0.5148,0.5148
4.1400,1.7400,0.4924,0.4924
4.1400,1.7900,0.4743,0.4743
4.1400,1.8400,0.4610,0.4610
4.1400,1.8900,0.4528,0.4528
4.1400,1.9400,0.4500,0.4500
4.1400,1.9900,0.4528,0.4528
4.1400,2.0400,0.4610,0.4610
4.0900,2.0900,0.5000,0.5000
4.0900,2.1400,0.5000,0.5000
4.0900,2.1900,0.5025,0.5025
4.0900,2.2400,0.5099,0.5099
4.0900,2.2900,0.5025,0.5025
4.0900,2.3400,0.5000,0.5000
4.0900,2.3900,0.5025,0.5025
4.0900,2.4400,0.5099,0.5099
4.0900,2.4900,0.5220,0.5220
4.0900,2.5400,0.5385,0.5385
4.0900,2.5900,0.5500,0.5500
4.0400,2.6400,0.5408,0.5408
3.9900,2.6900,0.5315,0.5315
3.9400,2.6900,0.4950,0.4950
3.8900,2.6900,0.4610,0.4610
3.8400,2.6400,0.3905,0.3905
3.7900,2.5900,0.3202,0.3202
3.7400,2.5400,0.2500,0.2500
3.6900,2.4900,0.1803,0.1803
3.6400,2.4400,0.1118,0.1118
3.6400,2.3900,0.0707,0.0707
3.6400,2.3400,0.0500,0.0500
3.5900,2.3900,0.0500,0.0500
3.5400,2.3400,0.0500,0.0500
3.5900,2.2900,0.0500,0.0500
3.9400,2.7400,0.5315,0.5315
3.9400,2.7900,0.5701,0.5701
3.8900,2.8400,0.5831,0.5831
3.8400,2.8900,0.6042,0.6042
3.7900,2.9400,0.6325,0.6325
3.7400,2.9900,0.6671,0.6671
3.6900,2.9900,0.6576,0.6576
3.6900,3.0400,0.7071,0.7071
3.6900,3.0900,0.7018,0.7018
3.6900,3.1400,0.7000,0.7000
3.6400,3.1900,0.6519,0.6519
3.6400,3.2400,0.6576,0.6576
3.6400,3.2900,0.6671,0.6671
3.6400,3.3400,0.6801,0.6801
3.5900,3.3900,0.6500,0.6500
3.5900,3.4400,0.6708,0.6708
3.5900,3.4900,0.6946,0.6946
3.5400,3.5400,0.6801,0.6801
3.5400,3.5900,0.7106,0.7106
3.5400,3.6400,0.7433,0.7433
3.4900,3.6900,0.7433,0.7433
3.4400,3.7400,0.7433,0.7433
3.3900,3.7900,0.7433,0.7433
3.3400,3.7900,0.7106,0.7106
3.2900,3.8400,0.7211,0.7211
3.2400,3.8400,0.6946,0.6946
3.1900,3.8400,0.6708,0.6708
3.1400,3.8400,0.6500,0.6500
